"nation";"population";"continent"
"@";"10000000000";"@"
"China";"1402218920";"As"
"India";"1361060375";"As"
"United States";"329630405";"Na"
"Indonesia";"266911900";"As"
"Pakistan";"219291520";"As"
"Brazil";"211394082";"Sa"
"Nigeria";"206139587";"Af"
"Bangladesh";"168445058";"As"
"Russia";"146745098";"Eu"
"Mexico";"126577691";"Na"
"Japan";"125950000";"As"
"Philippines";"108543662";"As"
"Egypt";"100251150";"Af"
"Ethiopia";"98665000";"Af"
"Vietnam";"96208984";"As"
"DR Congo";"89561404";"Af"
"Iran";"83366530";"As"
"Turkey";"83154997";"As"
"Germany";"83149300";"Eu"
"France";"67076000";"Eu"
"Thailand";"66493642";"As"
"United Kingdom";"66435550";"Eu"
"Italy";"60238522";"Eu"
"South Africa";"58775022";"Af"
"Tanzania";"55890747";"Af"
"Burma";"54339766";"As"
"South Korea";"51780579";"As"
"Colombia";"49395678";"Sa"
"Kenya";"47564296";"Af"
"Spain";"47100396";"Eu"
"Argentina";"44938712";"Sa"
"Algeria";"43000000";"Af"
"Sudan";"42427395";"Af"
"Ukraine";"41879904";"Eu"
"Uganda";"40299300";"Af"
"Iraq";"39127900";"As"
"Poland";"38379000";"Eu"
"Canada";"37994299";"Na"
"Morocco";"35869239";"Af"
"Saudi Arabia";"34218169";"As"
"Uzbekistan";"34127907";"As"
"Malaysia";"32750760";"As"
"Afghanistan";"32225560";"As"
"Venezuela";"32219521";"Sa"
"Peru";"32131400";"Sa"
"Angola";"31127674";"Af"
"Ghana";"30280811";"Af"
"Mozambique";"30066648";"Af"
"Nepal";"29996478";"As"
"Yemen";"29825968";"As"
"Cameroon";"26545864";"Af"
"Madagascar";"26251309";"Af"
"Ivory Coast";"25823071";"Af"
"Australia";"25678709";"Oc"
"North Korea";"25450000";"As"
"Niger";"22314743";"Af"
"Ceylon";"21803000";"As"
"Upper Volta";"20870060";"Af"
"Mali";"20250833";"Af"
"Romania";"19405156";"Eu"
"Malawi";"19129952";"Af"
"Chile";"19107216";"Sa"
"Kazakhstan";"18682480";"As"
"Zambia";"17885422";"Af"
"Syria";"17500657";"As"
"Ecuador";"17465512";"Sa"
"Netherlands";"17455581";"Eu"
"Guatemala";"16604026";"Na"
"Chad";"16244513";"Af"
"Senegal";"16209125";"Af"
"Somalia";"15893219";"Af"
"Cambodia";"15288489";"As"
"Zimbabwe";"15159624";"Af"
"South Sudan";"12778250";"Af"
"Rwanda";"12374397";"Af"
"Guinea";"12218357";"Af"
"Benin";"11733059";"Af"
"Tunisia";"11722038";"Af"
"Haiti";"11577779";"Na"
"Belgium";"11524454";"Eu"
"Bolivia";"11469896";"Sa"
"Cuba";"11209628";"Na"
"Burundi";"10953317";"Af"
"Greece";"10724599";"Eu"
"Czech Republic";"10693939";"Eu"
"Jordan";"10658808";"As"
"Dominican Republic";"10358320";"Na"
"Portugal";"10276617";"Eu"
"Azerbaijan";"10067108";"As"
"United Arab Emirates";"9890400";"Af"
"Hungary";"9772756";"Eu"
"Belarus";"9408400";"Eu"
"Israel";"9185850";"As"
"Honduras";"9158345";"Sa"
"Tajikistan";"9127000";"As"
"Papua New Guinea";"8935000";"Oc"
"Austria";"8902600";"Eu"
"Switzerland";"8603900";"Eu"
"Sierra Leone";"7901454";"Af"
"Togo";"7538000";"Af"
"Paraguay";"7152703";"Sa"
"Laos";"7123205";"As"
"Bulgaria";"7000039";"Eu"
"Serbia";"6963764";"Eu"
"Libya";"6871287";"Af"
"Lebanon";"6825442";"As"
"Kyrgyzstan";"6533500";"As"
"El Salvador";"6486201";"Na"
"Nicaragua";"6460411";"Na"
"Turkmenistan";"6031187";"As"
"Denmark";"5822763";"Eu"
"Singapore";"5703600";"As"
"Finland";"5527573";"Eu"
"Congo";"5518092";"Af"
"Central African Republic";"5496011";"Af"
"Slovakia";"5456362";"Eu"
"Norway";"5367580";"Eu"
"Costa Rica";"5058007";"Na"
"New Zealand";"4978279";"Oc"
"Palestine";"4976684";"As"
"Ireland";"4921500";"Eu"
"Oman";"4664790";"As"
"Liberia";"4475353";"Af"
"Kuwait";"4420110";"As"
"Panama";"4218808";"Na"
"Mauritania";"4077347";"Af"
"Croatia";"4076246";"Eu"
"Georgia";"3723464";"As"
"Uruguay";"3518552";"Sa"
"Eritrea";"3497117";"Af"
"Mongolia";"3312721";"As"
"Bosnia and Herzegovina";"3301000";"Eu"
"Armenia";"2957500";"As"
"Albania";"2845955";"Eu"
"Lithuania";"2793471";"Eu"
"Qatar";"2747282";"As"
"Jamaica";"2726667";"Na"
"Moldova";"2681735";"Eu"
"Namibia";"2458936";"Af"
"Gambia";"2347706";"Af"
"Botswana";"2338851";"Af"
"Gabon";"2172579";"Af"
"Slovenia";"2094060";"Eu"
"North Macedonia";"2077132";"Eu"
"Lesotho";"2007201";"Af"
"Latvia";"1906800";"Eu"
"Guinea-Bissau";"1604528";"Af"
"Bahrain";"1543300";"As"
"East Timor";"1387149";"As"
"Trinidad and Tobago";"1363985";"Sa"
"Equatorial Guinea";"1358276";"Af"
"Estonia";"1328360";"Eu"
"Mauritius";"1265985";"Af"
"Eswatini";"1093238";"Af"
"Djibouti";"1078373";"As"
"Fiji";"884887";"Oc"
"Cyprus";"875900";"As"
"Comoros";"873724";"Af"
"Guyana";"782766";"Sa"
"Bhutan";"741672";"As"
"Solomon Islands";"680806";"Oc"
"Montenegro";"622359";"Eu"
"Luxembourg";"626108";"Eu"
"Suriname";"581372";"Sa"
"Cape Verde";"550483";"Af"
"Malta";"493559";"Eu"
"Brunei";"442400";"As"
"Belize";"408487";"Na"
"Bahamas";"385340";"Na"
"Maldives";"374775";"As"
"Iceland";"364260";"Eu"
"Vanuatu";"304500";"Oc"
"Barbados";"287025";"Na"
"São Tomé and Príncipe";"201784";"Af"
"Samoa";"200874";"Oc"
"Saint Lucia";"178696";"Na"
"Kiribati";"120100";"Oc"
"Grenada";"112003";"Sa"
"Saint Vincent and the Grenadines";"110608";"Na"
"F.S. Micronesia";"104468";"Oc"
"Tonga";"100651";"Oc"
"Seychelles";"97625";"Af"
"Antigua and Barbuda";"96453";"Na"
"Andorra";"77543";"Eu"
"Dominica";"71808";"Na"
"Marshall Islands";"55500";"Oc"
"Saint Kitts and Nevis";"52823";"Na"
"Liechtenstein";"38749";"Eu"
"Monaco";"38300";"Eu"
"San Marino";"33574";"Eu"
"Palau";"17900";"Oc"
"Nauru";"11000";"Oc"
"Tuvalu";"10200";"Oc"
"Vatican City";"799";"Eu"
